"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","RT @CapitalUGRO: Taking into account the fact that #MSMEs are the engine of our country's #GDP, presumptive taxation can now be availed by…",FALSE,0,NA,2023-02-01 08:10:17,FALSE,NA,"1620696021331501058",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BambaGaurang",1,TRUE,FALSE,NA,NA
"26","देश के विकास में योगदान हेतु सभी भारतवासियों को हार्दिक शुभकामनाएं।
2/2
#EconomicSurvey #GDP @ABVPVoice https://t.co/AlmLjBc7bU",FALSE,1,NA,2023-02-01 08:10:07,FALSE,NA,"1620695980982276096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ravishankar1559",0,FALSE,FALSE,NA,NA
"27","RT @religareonline: Despite the global economic turmoil, IMF retains India's GDP growth at 6.1%. India's economy has surpassed expectations…",FALSE,0,NA,2023-02-01 08:09:18,FALSE,NA,"1620695773385211904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BambaGaurang",7,TRUE,FALSE,NA,NA
"28","RT @CNBCTV18Live: #BudgetWithCNBCTV18 | #FY24 NOMINAL GDP TARGET AT 10.5% 

#GDP
@nsitharaman
#CNBCTV18LIVE #Budget2023 #BudgetSession http…",FALSE,0,NA,2023-02-01 08:07:58,FALSE,NA,"1620695439225028608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PurbaRajpu7",10,TRUE,FALSE,NA,NA
"29","""Mexico | GDP grew 0.4% in 4Q22 with slow dynamism in i…"" - BBVA

#gdp #mexico 

https://t.co/ykSW1KjxTF",FALSE,0,NA,2023-02-01 08:05:20,FALSE,NA,"1620694776285642752",NA,"<a href=""https://www.mtsinsights.com/"" rel=""nofollow"">MTS Economics Feed</a>","MTSEconomics",0,FALSE,FALSE,NA,NA
"30","RT @AmazingTaian: 👍#Taian's #GDP hit 319.81 billion yuan ($47.16 billion) in 2022, up 4.3% over the previous year.
The added values of the…",FALSE,0,NA,2023-02-01 08:05:07,FALSE,NA,"1620694723676766209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wyzcbzx",0,TRUE,FALSE,NA,NA
"31","May be he is the advisor of Rahul Gandhi.
#GDP https://t.co/eciSGk4C7l",FALSE,0,NA,2023-02-01 08:05:03,FALSE,NA,"1620694703648935938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitchechanii",0,FALSE,FALSE,NA,NA
"32","RT @airnewsalerts: Effective capital expenditure of the centre is budgeted at  Rs.13.7 lakh crores ; which is 4.5% of #GDP, Finance Ministe…",FALSE,0,NA,2023-02-01 08:03:57,FALSE,NA,"1620694428200611840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IncometaxKerala",22,TRUE,FALSE,NA,NA
"33","RT @ReligareMarkets: #Budget2023 #BudgetSession #GDP #Growth #India https://t.co/G7e3JroUg0",FALSE,0,NA,2023-02-01 08:03:37,FALSE,NA,"1620694343001559040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manoj_vix",5,TRUE,FALSE,NA,NA
"34","RT @airnewsalerts: Effective capital expenditure of the centre is budgeted at  Rs.13.7 lakh crores ; which is 4.5% of #GDP, Finance Ministe…",FALSE,0,NA,2023-02-01 08:01:42,FALSE,NA,"1620693863915716609",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IncomeTaxBH_JH",22,TRUE,FALSE,NA,NA
