"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Se28XHI2_xE","so well explained. thank you, this video was really helpful!","so well explained. thank you, this video was really helpful!","Jasmine F","https://yt3.ggpht.com/ytc/AL5GRJUxirOiCfr0zUiK_4T4_GGf4ZzLLu9MQinWrw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCCzyWIm0JYTxwexJ1tM0Y-Q","UCCzyWIm0JYTxwexJ1tM0Y-Q","TRUE","none","1","2021-02-25T09:02:10Z","2021-02-25T09:02:10Z","UgwWE3lW1oYUqX7F0ep4AaABAg",NA,NA
"Se28XHI2_xE","Why did you stop to make a video? <br>I liked your content, and the explanation is straightforward to understand. <br><br>Please continue to make a video.","Why did you stop to make a video? 
I liked your content, and the explanation is straightforward to understand. 

Please continue to make a video.","Spirit_Peace","https://yt3.ggpht.com/ytc/AL5GRJUtdO8jE0PvovlnGoNHqXNJ1RrLkWZ9ia0QHcJ1rg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCXTKZ05g4V9qXwKg5F7cppA","UCXTKZ05g4V9qXwKg5F7cppA","TRUE","none","0","2021-02-15T19:19:53Z","2021-02-15T19:19:53Z","UgwporPNsUB8T-0VjMp4AaABAg",NA,NA
"Se28XHI2_xE","very well explained, thank you for the video.. but just wondering why do we always have to pretend and assume in stats","very well explained, thank you for the video.. but just wondering why do we always have to pretend and assume in stats","Mind & Body Wellness by Madhu","https://yt3.ggpht.com/fRqV4FOhmsWN9J8sP7hbK7_5eumcWHzyDxOfPpDSgGfvADTGiWMdDnH5duXKcyvLUdN6UrUo2TU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCjbd6Y8MU2ktL2n4jqRlu5g","UCjbd6Y8MU2ktL2n4jqRlu5g","TRUE","none","0","2021-02-05T04:01:37Z","2021-02-05T04:01:59Z","Ugxrdu3qoeiw04ca_Jx4AaABAg",NA,NA
"Se28XHI2_xE","👍👍🌝","👍👍🌝","Lakeside mission","https://yt3.ggpht.com/ytc/AL5GRJWtPanw3Lu13uUnnWFZ16oL4mRZQG1Sj1ActC1MRw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCanVnFfC16T23sD22nzqKfw","UCanVnFfC16T23sD22nzqKfw","TRUE","none","1","2021-01-31T21:48:15Z","2021-01-31T21:48:15Z","UgxHfRbiUcvOwSavir14AaABAg",NA,NA
"Se28XHI2_xE","Explained in detail ,nice.<br>Cluster analysis is explained in simple words in the below blog.<br><a href=""https://ba4ibs.blogspot.com/2020/12/cluster-analysis-4-icfai-business.html"">https://ba4ibs.blogspot.com/2020/12/cluster-analysis-4-icfai-business.html</a>","Explained in detail ,nice.
Cluster analysis is explained in simple words in the below blog.
https://ba4ibs.blogspot.com/2020/12/cluster-analysis-4-icfai-business.html","0408 - HAREEN SANKAR KARANAM","https://yt3.ggpht.com/ytc/AL5GRJW-UXcHaSWBccjKnzeM495-PuGPvZklLUL-BZyJmg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCFwfRUIaj9PHn-2Q0Tdy2TQ","UCFwfRUIaj9PHn-2Q0Tdy2TQ","TRUE","none","0","2021-01-12T16:00:49Z","2021-01-12T16:00:49Z","UgwOv-e_IdC-qzJPqDp4AaABAg",NA,NA
"Se28XHI2_xE","Very good stuff, just straight up understandable like it should be!!","Very good stuff, just straight up understandable like it should be!!","Kid Power","https://yt3.ggpht.com/ytc/AL5GRJVO1S4ZDaifr2-ToAxD7wN2zCKFV4d03dv7-nX8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC4LaW4SzchU946h6K45OYiw","UC4LaW4SzchU946h6K45OYiw","TRUE","none","0","2020-12-06T20:02:19Z","2020-12-06T20:02:19Z","UgzOhs85BeH5EC-cGR94AaABAg",NA,NA
"Se28XHI2_xE","This was incredibly clear!","This was incredibly clear!","Tomáš Miškov","https://yt3.ggpht.com/ytc/AL5GRJVL3nGyk2wbgYxnztf9tXrZFzJ-8s3dIMgnYYejJw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCUaOtnzPiHKSIAsM_Nu6-bQ","UCUaOtnzPiHKSIAsM_Nu6-bQ","TRUE","none","1","2020-12-05T07:34:32Z","2020-12-05T07:34:32Z","UgzWpTaKUs9dtBBxm3V4AaABAg",NA,NA
"Se28XHI2_xE","Amazing tutorial, Thank you! I have one question: How would you know when to use what if you can&#39;t visualize data since it has multiple features? -&gt; use pca to reduce dimensionality then plot and then use un-reduced data to train??","Amazing tutorial, Thank you! I have one question: How would you know when to use what if you can't visualize data since it has multiple features? -> use pca to reduce dimensionality then plot and then use un-reduced data to train??","Haneul Kim","https://yt3.ggpht.com/ytc/AL5GRJXaoaQ0QjDMQlRV5kVx3F6B292yuHyDTebYtQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCDsM1fw7WLttXudIfieCYow","UCDsM1fw7WLttXudIfieCYow","TRUE","none","5","2020-11-30T11:00:37Z","2020-11-30T11:00:37Z","UgylBQra16GCe_GzIXN4AaABAg",NA,NA
"Se28XHI2_xE","It&#39;s so awesome, so understandable and easy to learn. <br>I hope watch more and more lecture from you.<br>Tnxfull","It's so awesome, so understandable and easy to learn. 
I hope watch more and more lecture from you.
Tnxfull","Ahmadreza Sharifian","https://yt3.ggpht.com/ytc/AL5GRJUAbZvXCrTZALWIyBaJ3fcmJ3p0q2GfJyrMVQ9pZ8U=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCNVpRtz9_bjXru4YlLUkV_w","UCNVpRtz9_bjXru4YlLUkV_w","TRUE","none","1","2020-11-21T17:48:27Z","2020-11-21T17:48:27Z","Ugz4bbeBV9nRSN2eL214AaABAg",NA,NA
"Se28XHI2_xE","Connectivity Clustering reminds me to Graph Database Technology...","Connectivity Clustering reminds me to Graph Database Technology...","The Harpan","https://yt3.ggpht.com/ytc/AL5GRJVG3jsWn_EIbg6pHPKk9F_fBlwKxqJYK1Nz2ioAUg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCQQhvbClEX03abVAtUH3i1A","UCQQhvbClEX03abVAtUH3i1A","TRUE","none","0","2020-11-03T17:06:18Z","2020-11-03T17:06:18Z","Ugx0wAtus-yPwXH29eF4AaABAg",NA,NA
